rank,name,mean
species,Malacoplasma penetrans,1
species,Oceanobacillus iheyensis,7
species,Corynebacterium efficiens,5
species,Thermosynechococcus vestitus,1
species,Bradyrhizobium diazoefficiens,1
species,Gloeobacter violaceus,1
species,Burkholderia pseudomallei,4
species,Candidatus Protochlamydia amoebophila,3
species,Methanococcus maripaludis,2.43
species,Pectobacterium atrosepticum,7
species,Gluconobacter oxydans,4
species,Burkholderia mallei,3.97
species,Candidatus Blochmanniella pennsylvanica,1
species,Aliivibrio fischeri,11
species,Anaplasma marginale,1
species,Ruegeria pomeroyi,3
species,Lactobacillus acidophilus,4.17
species,Shigella dysenteriae,7
species,Shigella boydii,7
species,Borrelia turicatae,1
species,Haemophilus influenzae,5.99
species,Pseudomonas savastanoi,5
species,'Aster yellows witches''-broom phytoplasma',2
species,Pseudomonas syringae,5
species,Pseudomonas protegens,5.07
species,Sulfolobus acidocaldarius,1
species,Psychrobacter arcticus,4
species,Colwellia psychrerythraea,9
species,Candidatus Pelagibacter ubique,1
species,Burkholderia thailandensis,4.04
species,Rickettsia bellii,1
species,Thermobifida fusca,3.5
species,Pelodictyon luteolum,2
species,Synechococcus sp. CC9902,2
species,Methanosphaera stadtmanae,4
species,Ehrlichia canis,1
species,Synechococcus sp. CC9605,2
species,Oleidesulfovibrio alaskensis,4
species,Myxococcus xanthus,4
species,Nitrobacter winogradskyi,1
species,Thiobacillus denitrificans,2
species,Nitrosococcus oceani,2
species,Phocaeicola vulgatus,7
species,Carboxydothermus hydrogenoformans,4
species,Syntrophotalea carbinolica,2
species,Geobacter metallireducens,2
species,Burkholderia lata,6
species,Sulfurimonas denitrificans,4
species,Hahella chejuensis,5
species,Erythrobacter litoralis,1
species,Hyphomonas neptunium,1
species,Salinibacter ruber,1
species,Rhodospirillum rubrum,4
species,Anaplasma phagocytophilum,1
species,Ehrlichia chaffeensis,1
species,Neorickettsia sennetsu,1
species,Candidatus Palibaumannia cicadellinicola,2
species,Synechococcus sp. JA-3-3Ab,2
species,'Synechococcus sp. JA-2-3B''a(2-13)',2
species,Novosphingobium aromaticivorans,3
species,Frankia casuarinae,2
species,Rhodopseudomonas palustris,1.88
species,Anaeromyxobacter dehalogenans,2
species,Syntrophus aciditrophicus,1
species,Methanospirillum hungatei,4
species,Jannaschia sp. CCS1,1
species,Rhodoferax ferrireducens,2
species,Paraburkholderia xenovorans,6
species,Saccharophagus degradans,3.43
species,Methylobacillus flagellatus,2
species,Methanococcoides burtonii,3
species,Shewanella denitrificans,8
species,Polaromonas sp. JS666,1
species,Nitrobacter hamburgensis,1
species,Psychrobacter cryohalolentis,4.5
species,Mycobacterium ulcerans,1
species,Leptospira borgpetersenii,2
species,Sphingopyxis alaskensis,1
species,Candidatus Korobacter versatilis,1
species,Aliarcobacter butzleri,5
species,Roseobacter denitrificans,1
species,Ruegeria sp. TM1040,5
species,Clostridium novyi,10.5
species,Cytophaga hutchinsonii,3
species,Rubrobacter xylanophilus,1
species,Streptococcus sanguinis,4
species,Paraglaciecola sp. T6c,5
species,Trichodesmium erythraeum,2
species,Granulibacter bethesdensis,3
species,Rickettsia canadensis,1
species,Oenococcus oeni,2
species,Lactobacillus delbrueckii,8.15
species,Lactobacillus gasseri,5.09
species,Leuconostoc mesenteroides,3.98
species,Levilactobacillus brevis,4.91
species,Pediococcus pentosaceus,5
species,Lacticaseibacillus paracasei,4.96
species,Rhodococcus jostii,4
species,Synechococcus sp. CC9311,2
species,Shewanella sp. MR-4,9
species,Shewanella frigidimarina,9
species,Syntrophomonas wolfei,3
species,Maricaulis maris,2
species,Nitrosomonas eutropha,1
species,Alkalilimnicola ehrlichii,2
species,Aeromonas hydrophila,9.97
species,Magnetococcus marinus,3
species,Shewanella piezotolerans,8
species,Paenarthrobacter aurescens,5.5
species,Methanothrix thermoacetophila,2
species,Syntrophobacter fumaroxidans,2
species,Acidothermus cellulolyticus,1
species,Pelobacter propionicus,4
species,Candidatus Ruthturnera calyptogenae,1
species,Chlorobium phaeobacteroides,2
species,Hyperthermus butylicus,1
species,Bradyrhizobium sp. BTAi1,2
species,Shewanella sp. W3-18-1,8
species,Pyrobaculum islandicum,1
species,Thermofilum pendens,1
species,Shewanella amazonensis,8
species,Nocardioides sp. JS614,2
species,Psychromonas ingrahamii,10
species,Mycolicibacterium vanbaalenii,2
species,Paracidovorax citrulli,3
species,Dichelobacter nodosus,3
species,Marinobacter nauticus,3
species,Lactobacillus helveticus,4.31
species,Bartonella bacilliformis,2
species,Nitratidesulfovibrio vulgaris,5
species,Polaromonas naphthalenivorans,2
species,Verminephrobacter eiseniae,3
species,Halorhodospira halophila,2
species,Methylibium petroleiphilum,1
