#OTU_num	Y.A.0H	Y.B.0H	Y.C.0H	Y.D.0H	Y.E.0H	Y.CN.A.24H	Y.CN.B.24H	Y.CN.C.24H	Y.CN.D.24H	Y.CN.E.24H	OFP.A.24H	OFP.B.24H	OFP.C.24H	OFP.D.24H	OFP.E.24H	IQ.A.24H	IQ.B.24H	IQ.C.24H	IQ.D.24H	IQ.E.24H	PM.A.24H	PM.B.24H	PM.C.24H	PM.D.24H	PM.E.24H	EM.A.24H	EM.B.24H	EM.C.24H	EM.D.24H	EM.E.24H	Taxonomy
ASV32	1538.0	0.0	0.0	0.0	3814.0	87.0	0.0	0.0	0.0	86.0	73.0	0.0	0.0	0.0	733.0	95.0	0.0	0.0	0.0	1080.0	105.0	0.0	0.0	0.0	305.0	168.0	0.0	0.0	0.0	471.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__
ASV33	112.0	382.0	4639.0	221.0	194.0	0.0	55.0	301.0	29.0	62.0	5.0	64.0	347.0	34.0	19.0	8.0	44.0	1283.0	40.0	17.0	0.0	27.0	140.0	21.0	0.0	25.0	20.0	247.0	54.0	5.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__
ASV34	0.0	0.0	3542.0	40.0	0.0	0.0	0.0	1539.0	443.0	34.0	0.0	0.0	954.0	113.0	0.0	0.0	0.0	876.0	89.0	0.0	0.0	0.0	398.0	15.0	0.0	0.0	0.0	267.0	12.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides
ASV35	0.0	0.0	450.0	48.0	0.0	419.0	3991.0	942.0	413.0	77.0	14.0	86.0	436.0	80.0	16.0	0.0	44.0	446.0	82.0	14.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	149.0	19.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV36	37.0	0.0	0.0	1348.0	6.0	794.0	152.0	0.0	1459.0	89.0	105.0	0.0	0.0	1681.0	15.0	84.0	0.0	0.0	1390.0	6.0	0.0	0.0	0.0	265.0	0.0	0.0	0.0	0.0	370.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV37	0.0	116.0	0.0	55.0	361.0	0.0	29.0	0.0	0.0	24.0	0.0	802.0	0.0	136.0	1338.0	0.0	2241.0	0.0	207.0	1144.0	14.0	68.0	0.0	0.0	614.0	0.0	67.0	0.0	40.0	308.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9
ASV38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1132.0	1450.0	0.0	0.0	0.0	4394.0	519.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli
ASV39	868.0	318.0	2525.0	430.0	734.0	65.0	52.0	79.0	22.0	41.0	29.0	78.0	462.0	59.0	283.0	32.0	26.0	408.0	68.0	220.0	29.0	10.0	70.0	72.0	22.0	104.0	18.0	113.0	92.0	37.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__
ASV40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	937.0	0.0	0.0	0.0	0.0	6231.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus
ASV41	0.0	0.0	3.0	1890.0	0.0	0.0	0.0	305.0	2530.0	0.0	0.0	0.0	5.0	843.0	0.0	0.0	0.0	44.0	619.0	0.0	0.0	0.0	0.0	646.0	0.0	0.0	0.0	10.0	250.0	0.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium
ASV42	1330.0	550.0	414.0	15.0	995.0	78.0	57.0	26.0	8.0	66.0	154.0	410.0	384.0	400.0	307.0	127.0	72.0	409.0	349.0	347.0	85.0	56.0	58.0	48.0	50.0	162.0	61.0	45.0	10.0	31.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group
ASV43	0.0	116.0	0.0	28.0	138.0	0.0	57.0	0.0	0.0	0.0	0.0	1029.0	0.0	57.0	764.0	0.0	2771.0	0.0	89.0	581.0	0.0	111.0	0.0	17.0	632.0	0.0	94.0	0.0	0.0	257.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9
ASV44	0.0	0.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	2997.0	0.0	0.0	0.0	0.0	3382.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1
ASV45	0.0	0.0	28.0	36.0	0.0	2165.0	197.0	1411.0	1617.0	15.0	70.0	0.0	283.0	215.0	0.0	76.0	0.0	250.0	124.0	0.0	5.0	0.0	45.0	30.0	0.0	0.0	0.0	43.0	16.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
