#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter,0.012721232306630878,0.008766049504079292,0.008425053786291131,0.002034813742168344,0.0016957071287228825,0.00045436713417601547,0.000532853266886992,0.0,0.0005066759001532204,0.0,0.0009912647908072525,0.0012105415502932794,0.00011611039099015773,0.0019069144476335858,0.00013190710753848266,0.0001510056755463364,0.0004898028141374866,0.0,0.0020351103391962884,0.0,0.00013536424434026266,0.0001636424193157586,5.218517517364838e-05,0.0026381681330852713,0.00014415173825323496,0.0025700607444838217,0.00011401119320620963,0.0,0.0012294904700023543,8.347025475410504e-05
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unclassified;g__unclassified,0.0005139891841062981,0.0,0.0,0.0019731527196783943,0.0,0.00013768701035636832,0.0003875296486450851,0.0,0.0007896247794595642,0.0,0.00021627595435794598,0.0,0.0,0.00019812098157232058,0.0,0.0001464297459843262,0.0,0.0,0.0003861078904404026,0.0,7.383504236741599e-05,0.0,0.0,0.0002205365210520603,0.0,0.0,0.0,0.0,0.00024589809400047086,0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__unidentified_Coriobacteriales;g__Raoultibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002895290858018402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0.004158280329318716,0.0,0.1108958374685058,0.07093723197270455,0.0004004031000526287,0.1474073377774997,0.1132084490925544,0.19204946646029075,0.1226097652913515,0.006784766724561872,0.04768458795500792,0.0076270962836007625,0.10285605400212836,0.10707833684318013,0.0007994370153847435,0.04970407969743197,0.0044237321169030164,0.0962390874048783,0.07557628071504097,0.0008360011159785298,0.005263431679309932,8.45260430349993e-05,0.021963058229074742,0.01281347260474432,0.00011913366797788012,0.0008446770401113444,9.422412661670217e-05,0.018409005454312632,0.01394541944791472,0.000120721442826185
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella,0.0012829960787884133,0.0,0.003919941343245079,0.00021704679916462335,0.0,9.087342683520308e-05,0.0,0.0004095801595598661,8.685872574055206e-05,0.0,0.00013877707071301533,0.0,0.0003367201338714574,0.00016950350645631872,0.0,0.00020134090072844855,0.0,0.0002441772552129763,0.00016516837535506107,0.0,4.0609273302078794e-05,0.0,0.0003026740160071606,0.0,0.0,0.0001776832119643136,0.0,0.00014047232089912427,7.376942820014126e-05,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter,0.0,0.0,5.640203371575653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966623459409463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.218517517364838e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0874070069459353e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas,0.0011090305087832048,0.0001198776000557852,0.0,0.0,0.0,7.572785569600258e-05,7.104710225159892e-05,0.0,4.342936287027603e-05,0.0,5.947588744843515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011627488343475061,2.3595482193580156e-05,0.0,4.0609273302078794e-05,3.2728483863151724e-05,0.00010437035034729677,0.0,0.0,0.0,0.0,5.016868603540153e-05,4.917961880009417e-05,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0.0005708245265795906,0.0004120792501917616,0.0003701383462596522,0.0,0.0,0.0,8.880887781449867e-05,9.481022212033938e-05,0.0,0.0,0.0,0.0,5.8055195495078864e-05,0.0,0.0,7.55028377731682e-05,0.0,0.00010174052300540678,0.0,0.0,0.0,0.0,0.0,3.0323771644658287e-05,0.0,0.0,0.0,5.016868603540153e-05,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Sanguibacteroides,0.00021745696250651073,0.0001498470000697315,0.0,7.536347193216089e-05,0.0,0.0,3.552355112579946e-05,0.0,0.00010857340717569009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__unclassified,0.0015221987375455752,0.0037461750017432874,3.525127107234783e-05,0.0,0.0,0.0003597073145560123,0.00012433242894029813,0.0,0.0,0.0,7.434485931054394e-05,0.000382276279039983,0.0,0.0,0.0,0.00012583806295528034,0.00073470422120623,0.0,0.0,0.0,6.768212217013133e-05,0.0002250083265591681,0.0,0.0,0.0,0.00015864572496813715,0.00015201492427494617,0.0,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,0.0015894629674734367,0.0009206701275470791,0.0,0.0,0.007246787123960987,0.00043318900504069275,0.0,0.0,0.0,0.0,0.00029401921761232065,0.0001349845618079036,0.0,0.0,0.0028505349510434814,0.0005758691016597576,0.00017561378603364906,0.0,0.0,0.0017509897156881722,0.00010037602864214392,3.467000409232174e-05,0.0,0.0,0.0016899144456240822,0.0005512266714994596,4.830982762974985e-05,0.0,0.0,0.00150317196061418
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,0.0,0.0,0.0010877535073753044,0.0,0.0,0.0,0.0,0.0002817218028718656,0.0,0.0,0.0,0.0,4.146799678219919e-05,0.0,0.0,4.314447872752469e-05,0.0,0.000996641858012148,0.0,0.0,0.0,0.0,0.0006038570270093599,0.0,0.0,2.7196409994537796e-05,0.0,0.0001720069235499481,0.0,0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0.00042954461729681134,0.006992860003254137,0.0,0.00015630942326670406,0.00842171300614398,0.0,0.00010525496629866509,0.0,0.0,0.0008990280284026093,0.0,0.001038281251713534,0.0,0.00038863237811854383,0.009466913397000568,0.0,0.0008186637729173566,0.0,0.0003349975866989775,0.00945930761016316,0.0,0.0002424332138011239,0.0,0.0,0.004484720745656199,9.40122814625998e-05,0.00035657821743505897,0.0,0.00012143115753109673,0.007914216747055886
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_7,0.00013821417108464667,0.0,0.0,3.832040945703096e-05,4.105828398844752e-05,0.0,0.0,0.0,0.0,0.0,0.00014700960880616033,0.0,0.0,3.8476885545471874e-05,0.0002235713687092927,6.398545573997307e-05,0.0,0.0,0.0,7.29579048203405e-05,0.00028678865326326836,0.0,0.0,0.0,0.0001628833200601525,0.00030922471815823344,4.830982762974985e-05,0.0,0.0,7.07375040289026e-05
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9,0.0009444635024117522,0.020857940475807964,0.0,0.002280064362693342,0.07877031783183656,6.417614889491745e-05,0.0022277481214484415,0.0,0.0,0.0031875316189306615,0.000693045298657613,0.03494750305206624,0.0,0.003180755871759008,0.38150590975501547,0.0002985987934532076,0.10233494258869914,0.0,0.005348975836256519,0.3202122442564745,0.0009750814210951124,0.0038657054562938743,0.0,0.00043686789657558555,0.15085031479070873,0.00024200195334122616,0.003365584658205906,0.0,0.0007684315437514713,0.07125035093311213
