#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio,0.007092834519255331,0.012731141607486953,0.0,0.0,0.0,0.0009170170025687812,0.0007215721322428016,0.0,0.0,0.0,0.0006001798538090786,0.0006221944645833056,0.0,0.0,8.587702313703298e-05,0.000570203722766114,0.00017661159163611298,0.0,0.0,0.0,0.0002776024542134293,0.0002397105751695683,0.0,0.0,0.0,0.0011898429372610285,0.00022267811173087818,0.0,0.0,8.151392065830571e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56,0.0013047417750390645,0.0009889902004602278,0.002340684399203896,0.0024960381903931686,0.0006782828514891529,0.0,7.104710225159892e-05,0.0001365267198532887,0.00020267036006128814,0.0,0.0,0.00025485085269332197,0.00039477532936653626,0.0007022288124618919,0.0,0.0,0.0,0.0004999819987694276,0.0011561786274854277,0.0,0.0,4.9092725794727585e-05,0.0001774295955904045,0.0003517557510780361,0.00011532139060258796,0.0,4.560447728248385e-05,0.00011037110927788338,0.0006270401397012006,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catenibacillus,0.0,0.0,0.0,3.617446652743723e-05,0.0,0.0,0.0,0.0,2.8952908580184023e-05,0.0,0.0,0.0,0.0,8.475175322815936e-05,0.0,0.0,0.0,0.0,0.00012977515206469086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147452350011771e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus,0.008124982871834174,0.005857655457271322,0.0063324101489963015,0.003880533682034175,0.009478342184445826,0.0015971693201338724,0.008564405235056381,0.002978764796799026,0.004106048853189734,0.009842737735314192,0.001730207634863568,0.0023979148412508026,0.0010872154792714768,0.002652619808829404,0.0026061646701542635,0.0009334896306500796,0.0006302357888202625,0.0009407695114266187,0.0020592420823488137,0.0019879039302502233,0.0005414569773610507,0.0005653101758180752,0.0008349628027783741,0.0011908972136811255,0.0004892422631624944,0.0016729912814821735,0.00027639077140899305,0.0009577658243122111,0.001676577913639574,0.0009105845973175097
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea,0.004004832392828239,0.012037709005601763,0.00562845294788487,0.01703214465666836,0.004861027102338929,0.01008442611685101,0.07079843739371833,0.07704910717646246,0.03749401661133831,0.10398785799845162,0.0012390809885090657,0.0031537793020798596,0.0122206186517141,0.01056370067022415,0.006697949793898509,0.0009228124616720559,0.0012182275120855438,0.01325533671156157,0.011935381409585962,0.00721723913784415,0.000699381929091357,0.0005318378627762156,0.001748203368317221,0.0035478812824250197,0.001986090615933459,0.0024431441645093124,0.0003166977589061379,0.0013294701799381405,0.004118793074507887,0.0020311095323498896
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella,0.0,0.0,0.0,0.0008817526216062823,0.0,0.0,0.0,0.0,0.0002895290858018402,0.0,0.0,0.0,0.0,0.0005145642160281105,0.0,0.0,0.0,0.0,0.0005603927020975287,0.0,0.0,0.0,0.0,6.0647543289316574e-05,0.0,0.0,0.0,0.0,0.000107580416125206,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,0.01887526434556513,0.009530269204434923,0.03560378378307131,0.00846482516742031,0.014224560371229666,0.0009844621240480335,0.0007388898634166289,0.0011984012076010897,0.0003184819943820243,0.0005633343551556726,0.0005749335786682065,0.0009939183255039557,0.0053643000637452875,0.0007143362057802005,0.004977294857785413,0.0006442908823310354,0.0003918422513099893,0.004744015244137824,0.0008022463945817252,0.003787974418272079,0.0003925563085867617,0.0001636424193157586,0.0007305924524310774,0.0008733246233661587,0.0004228450988761559,0.001319932431734901,0.0002736268636949031,0.0011338123044000747,0.001131131232402166,0.0006176798851803774
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575,6.523708875195321e-05,0.0004795104002231408,0.0001410050842893913,0.00023513403242834198,0.00017441559038292506,0.0,4.262826135095936e-05,4.55089066177629e-05,0.0,0.0,0.0,0.0,5.8055195495078864e-05,0.0,0.0,0.0,0.0,0.00011627488343475061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.023616044956213e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685872574055206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella,0.0012177589900364601,0.0001198776000557852,0.0,0.0,0.0008720779519146252,0.00013631014025280465,4.262826135095936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010067045036422428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.614994798470582e-05,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.433979684485337e-05,0.0,0.00013216863877430033,0.0,0.0,0.000618822325157989,0.0,0.0,0.0,0.0,0.00039325803655966925,0.0,0.0,0.0,0.0,0.00017520401394691454,0.0,4.2305526658169904e-05,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,0.00015221987375455752,0.0,0.0,0.0005064425313841211,0.0,0.0,0.0,0.0020213539356056355,0.005548101106677764,0.0005908140797974129,0.0,0.0,0.0031814247131303217,0.0006416918458703495,0.00017587614338464356,0.00016107272058275886,0.0,0.0029882645042730903,0.0007078644658074047,0.0001721806553760036,2.707284886805253e-05,0.0,0.0002922369809724309,0.00026684919047299295,0.0,0.0,0.0,0.0005317880719752562,0.00015983376110030606,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,0.0014352159525429708,0.0002397552001115704,0.002622694567782679,0.0,0.007247936755912662,6.058228455680206e-05,0.0,0.00048542833725613766,0.0,0.00032975669570088157,5.947588744843515e-05,3.822762790399829e-05,0.0014862130046740187,0.0,0.0011959577750155761,8.053636029137943e-05,7.535427909807486e-05,0.0013604161361865821,3.539322329037023e-05,0.0010847381288688225,5.414569773610506e-05,0.0,0.0005740369269101322,0.0,0.0009610115883548997,0.00010153326397960778,0.0,0.0005418218091823365,0.0,0.0011018073627541865
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group,0.002652974942579431,0.010699075804978827,0.002862403211074644,0.012299318619328656,0.00895333363965682,0.0,0.00031260724990703534,0.0001365267198532887,0.0004921994458631283,0.0001923580724921809,3.96505916322901e-05,0.0006243845890986389,0.000406386368465552,0.0007506583857351259,0.0001582885290461792,6.040227021853456e-05,0.00021099198147460962,0.00023254976686950122,0.0008494373589688855,0.0001721806553760036,6.768212217013133e-05,0.0,7.305924524310773e-05,0.00018194262986794972,0.0,0.0003426747659311763,0.0,0.00012040484648496367,0.0005409758068010359,8.347025475410504e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK3A20_group,0.0,0.0009889902004602278,0.0,0.0,0.0,0.0,0.00014209420450319785,0.0,0.0,0.0,0.0,6.371271317333049e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,0.007197825458965506,0.0003596328001673556,0.0007755279635916522,0.000886274429922212,0.00858512294884842,0.00037863927848001287,0.0,0.00019720526201030591,7.238227145046005e-05,0.00023357765945479112,0.0001982529581614505,0.0,0.00015094350828720506,8.475175322815936e-05,0.000246226600738501,0.0,0.0,0.0001279023717782257,0.0,0.0002066167864512043,0.0001218278199062364,0.0,0.0,6.0647543289316574e-05,5.766069530129398e-05,0.00036805808192607816,0.0,0.00010033737207080307,0.00015983376110030606,0.0003839631718688832
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4B4_group,6.523708875195321e-05,0.0004195716001952482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,0.0016309272187988305,0.0,8.460305057363479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.947588744843515e-05,0.0,5.8055195495078864e-05,0.0,0.0,0.0,0.0,0.0002092947901825511,0.0,0.0,0.0,0.0,0.00011480738538202645,0.0,0.0,0.00015229989596941167,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,0.0,0.0006593268003068187,0.0,0.0,0.0,0.00013631014025280465,0.0,0.0022451060598096366,0.0,6.869931160435033e-05,0.0,0.0,0.0001625545473862208,0.00010896653986477634,0.00022863898640003663,0.0,0.0,0.0001744123251521259,0.0,0.0001377445243008029,0.0,9.818545158945517e-05,0.0,7.277705194717989e-05,0.0,8.88416059821568e-05,0.0,0.00014047232089912427,0.0001475388564002825,0.0001335524076065681
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0.0,0.0,7.050254214469566e-05,0.0017001999267895495,3.8759020085094455e-05,0.0,4.262826135095936e-05,0.0038985963335883547,0.0007238227145046005,0.0,0.0,2.5485085269332198e-05,0.0003483311729704732,0.0005569400926421902,0.0,0.0,3.0141711639229948e-05,0.00030231469693035157,0.0001415728931614809,0.0,0.0,0.0,6.262221020837806e-05,0.0002547196818151296,0.0,0.0,3.0402984854989236e-05,9.030363486372276e-05,0.000430321664500824,3.3388101901642024e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0536966591542406e-05,0.0,0.0,0.0,0.0,9.438192877432063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium,0.0,0.0017082558007949391,0.0,0.0,0.0,0.0,0.0013641043632306995,0.0,0.0,0.0,0.0,0.0008919779844266269,0.0,0.0,0.0,0.0,0.00024113369311383958,0.0,0.0,0.0,0.0,9.818545158945517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,0.002281947441954968,0.0018304291933983767,0.00627881335477036,0.005213467111749286,0.006910119396071614,0.0,0.0,0.0010050276133667445,0.0002247896628896275,0.00021335189939239235,0.0,0.0,0.0003846306947914127,0.00124031847078655,0.00032771952183473956,0.0,0.00012481040016244283,0.0007944246694299731,0.0011052138515051948,0.0004812502790012523,0.0,0.0,0.0010533734272370288,0.0007004602903508334,0.0003780376848601055,0.00038423140593732267,0.0,0.0013899218885770719,0.001337420896354528,0.0008582055592316474
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas,0.0,0.0,0.0,0.0003074829654832164,0.0,0.0,0.0,7.58481776962715e-05,0.016532110799285078,0.0,0.0,0.0,0.0,0.001658712884608262,0.0,0.0,0.0,0.0,0.001073594439807897,0.0,0.0,0.0,0.0,0.00037601476839376277,0.0,0.0,0.0,0.0,0.00018442357050035314,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia,0.0,0.0,0.0,0.00014469786610974892,0.0,0.0,0.0,0.0,5.790581716036805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8988705483950384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella,0.0,0.0,0.0,0.001211844628669147,0.0,0.0,0.0,0.0,0.0001302880886108281,0.0,0.0,0.0,0.0,0.00026636265300278663,0.0,0.0,0.0,0.0,0.00018876385754864125,0.0,0.0,0.0,0.0,0.0001698131212100864,0.0,0.0,0.0,0.0,9.835923760018834e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3,0.0,0.0,0.0,0.00019895956590090477,0.0,0.0,0.0,9.10178132355258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group,0.012786469395382832,0.0020079498009344023,0.001269045758604522,0.009550059163243427,0.0030232035666373676,0.0005603861321504191,7.104710225159892e-05,0.00010618744877478009,0.0007527756230847846,0.0001923580724921809,0.0003172047330583208,0.00025485085269332197,0.000812772736931104,0.00111388018528438,0.00029898944375389403,0.0006442908823310354,9.042513491768983e-05,0.000779041719012829,0.0008612351000656756,0.0004132335729024086,0.00047377485519091927,3.2728483863151724e-05,9.393331531256708e-05,0.0009218426579976119,0.0002690832447393719,0.0006726578738649015,0.00013681343184745155,0.00027091090459116827,0.0010819516136020718,0.0002003286114098521
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group,0.0,0.0,0.0,0.00014469786610974892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024214786636616963,0.0,0.0,0.0,0.0,0.00017696611645185117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group,0.0,0.0001198776000557852,0.0,0.0,0.0024999567954885923,4.543671341760154e-05,2.8418840900639575e-05,0.0,5.790581716036805e-05,2.7479724641740133e-05,0.0007731865368296569,0.0002803359379626542,0.005898407862300012,0.006102126232427474,0.0015477100617848634,0.0003221454411655177,0.0,0.006988120494428512,0.005710106690846398,0.0011019561944064229,9.475497103818386e-05,0.00014727817738418276,0.0009497701881604005,0.0017102607207587273,0.00017298208590388195,0.0010407159557909796,0.00012161193941995694,0.0012542171508850384,0.0026434045105050616,0.0004006572228197042
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_oxidoreducens_group,0.0,0.0002397552001115704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group,0.0,0.003086848201436469,0.0,0.0,0.003682106908083973,0.0,5.683768180127915e-05,0.0,0.0,8.243917392522039e-05,0.0,0.0001401679689813271,0.0,0.0,0.0005452160444923951,0.0,4.5212567458844915e-05,0.0,0.0,0.0003787974418272079,0.0,0.0,0.0,0.0,0.00013454162236968594,0.0,0.0,0.0,0.0,0.0004006572228197042
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,0.0,0.0,0.0021714782980566264,0.00010852339958231167,0.0,0.0,0.0,0.0005764461504916634,0.0,0.0,0.0,0.0,0.0003831642902675205,9.685914654646786e-05,0.0,0.0,0.0,0.0004185895803651022,7.078644658074046e-05,0.0,0.0,0.0,0.00018786663062513416,2.425901731572663e-05,0.0,0.0,0.0,0.000260877167384088,0.00012294904700023543,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group,0.0,0.0007492350003486575,0.0012972467754624,0.0037983189853809086,0.0,0.0,0.0,7.58481776962715e-05,2.8952908580184023e-05,0.0,0.0,2.5485085269332198e-05,0.00015094350828720506,0.00036322179954925444,0.0,0.0,0.0,0.0001279023717782257,0.0004247186794844428,0.0,0.0,0.0,8.349628027783741e-05,0.0005458278896038492,0.0,0.0,0.0,6.020242324248184e-05,0.000700809567901342,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group,0.0005436424062662768,0.005304583802468495,0.009348637088386645,0.0007054020972850259,0.005949509583061999,0.0,0.0024013920561040437,0.0025636684061339766,0.00036191135725230025,0.0007419525653269836,0.00017842766234530546,0.0034022588834558484,0.0043193065448338674,0.00048429573273233925,0.002092926106277258,0.00012080454043706912,0.0013714478795849624,0.004918427569289951,0.0004011231972908626,0.001825114946985638,0.0,0.00014727817738418276,0.0005844739619448618,0.00037601476839376277,0.0002883034765064699,0.00010153326397960778,0.00019761940155743003,0.00046155191152569405,0.0002581929987004944,0.0002003286114098521
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group,0.0,0.0,0.0004371157612971131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008011616978320883,0.0,0.0,0.0,0.0,0.0007209042772954538,0.0,0.0,0.0,0.0,3.131110510418903e-05,0.0,0.0,0.0,0.0,8.026989765664246e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group,0.035010570963548225,0.018820783208758275,0.010166466577265113,0.0023513403242834195,0.027615801810629798,0.0013631014025280463,0.0008099369656682278,0.0008798388612767494,0.0007817285316649685,0.0016075638915417976,0.003172047330583208,0.00626933097625572,0.00623512799617147,0.01546114126747993,0.0071405714214165285,0.0025570294392512965,0.001085101619012278,0.006581158402406884,0.012989312947565876,0.007799783688532963,0.0011505960768922326,0.0009163975481682482,0.0008140887327089147,0.0010673967618919718,0.0013646364554639576,0.0025002566254978416,0.0009272910380771716,0.0006020242324248184,0.0013032598982024959,0.0009014787513443344
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__unclassified,0.027856236897084025,0.05355531782492204,0.006359329301451548,0.013348378148624336,0.020445383094887325,0.0012722279756928433,0.003907590623837941,0.015670233512049693,0.006065634347548553,0.004657813326774952,0.0012093430447848482,0.0036698522787838367,0.004783748108794499,0.006453240638658421,0.003517522867692871,0.0013288499448077605,0.0006781885118826738,0.004057993431872796,0.005132017377103683,0.0032886505176816685,0.00041962915745481425,0.0004745630160157,0.001127199783750805,0.0015283180908907776,0.0013646364554639576,0.0030586895773856843,0.0008208805910847094,0.0011237785671929944,0.002815533176305391,0.0019031218083935954
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae,0.0008045907612740898,0.0,0.00012690457586045218,0.00010852339958231167,0.00011627706025528336,9.087342683520308e-05,2.8418840900639575e-05,0.0002275445330888145,8.685872574055206e-05,0.00026105738409653125,0.0,0.0,4.644415639606309e-05,0.00019371829309293572,0.0,0.0,0.0,4.650995337390024e-05,0.00022415708083901146,0.00010330839322560215,4.0609273302078794e-05,0.0,2.0874070069459353e-05,0.0,0.0,6.345828998725486e-05,0.0,6.020242324248184e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__unclassified;g__unclassified,0.0,0.00020812083343018262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,0.004784053175143236,0.008091738003765501,0.01494653893467548,0.0013565424947788959,0.0005813853012764168,0.0,0.0003552355112579947,0.001365267198532887,0.0,0.0,0.0,0.0001911381395199915,0.0008708279324261829,0.0,0.0,0.0,0.00015070855819614972,0.001337161159499632,0.0,0.0,0.0,0.0,0.00041748140138918706,0.00030323771644658287,0.0,0.00025383315994901944,0.00022802238641241927,0.0004515181743186138,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus,0.007828450650234386,0.0018481130008600219,0.0014335516902754784,0.012570627118284435,0.002777729772765103,0.0005300949898720181,0.0007104710225159894,0.0011377226654440725,0.0022438504149642617,0.0014655853142261403,0.0003634637566293259,0.0003398011369244293,0.0005999036867824816,0.006416918458703495,8.793807169232178e-05,0.00013422726715229904,0.00012559046516345812,0.0004263412392607522,0.0037162884454888744,0.00031566453485600655,0.00020304636651039397,0.00010909494621050574,0.00020874070069459353,0.0014353251911804923,0.00019220231767097995,0.000444208029910784,0.0,0.00021739763948673996,0.001106541423002119,0.00011129367300547339
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009,0.0002899426166753476,0.0017482150008135341,0.0001410050842893913,0.0002713084989557792,0.0001291967336169815,0.00012621309282667096,4.7364734834399285e-05,0.0002528272589875717,0.0,4.579954106956688e-05,0.00013216863877430033,0.0,0.0,0.00020178988863847467,0.0,6.711363357614952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.345828998725486e-05,0.00010134328284996411,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__unclassified,0.00010872848125325537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Acetanaerobacterium,0.0,0.0,0.0,0.0,6.954369632493025e-05,0.0,0.0,0.0,3.4632665765770364e-05,8.217621005305063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__unclassified,0.0,0.0,0.0,4.327089297540338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Hungateiclostridiaceae;g__unclassified,0.0,0.0,0.0,4.327089297540338e-05,0.0,0.0,0.0,0.0,3.4632665765770364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter,0.0007261496247772824,0.0014884793427907383,0.0003588452743891696,0.0021119823272006764,0.0012816387790553256,0.00014298481446555302,0.00019075095023245457,0.0014412391360300667,0.004460085836906163,0.0001360159375345521,8.903575965334604e-05,0.0,0.00020268940678277813,0.0008708666746551666,0.00012824545270964492,0.00012056341360984945,0.0,6.821864086784586e-05,0.0006181451173467856,0.00018832616241970897,0.0,0.0,0.0,0.00014526357674087803,0.00011509120818621554,0.0003229912963423152,0.00013654035114516125,3.004112936251589e-05,0.0005153552868273341,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor,0.0,0.0,0.00015107687602434783,0.0009366602940139996,0.0,0.00024341096473715114,0.0,0.004605067931559341,0.0028694400467860954,0.00019628374744100094,0.0,0.0,0.0,0.00017296276169012116,0.0,0.0,0.0,0.0001245802322515185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas,0.0008154636093994153,0.00037461750017432876,0.0,0.000768707413708041,0.0,0.00037863927848001287,0.008951934883701464,0.00011377226654440725,0.0009409695288559808,0.0,0.000396505916322901,0.0007326962014933007,0.0,0.00012107393318308481,0.0,0.0,0.0002260628372942246,0.0,0.00011797741096790077,0.0,0.000609139099531182,0.0003272848386315172,0.0,0.0,0.0,0.0007297703348534309,0.00015201492427494617,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group,0.004036626250120858,0.010587991621693603,0.004601662930402292,0.00858331279131557,0.0039165177481195745,0.0002040570961868333,0.000850863500019149,0.00018167228190723716,0.0008235108727896654,0.00014398059318277017,0.0002671072789600381,0.0002861349394011849,0.00010429077035044108,0.0006162445700935455,0.00023695887581763354,0.00012056341360984945,0.0004061009053189664,8.703209837930435e-05,0.0008477418752184487,0.0,0.00028369751807839476,0.0001959789452883337,0.00017186734338626712,0.0006900019895191707,8.631840613966165e-05,0.00047498720050340463,0.0007054584809166665,0.00024032903490012712,0.0010123050276965493,0.00024991094237756004
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,0.0009785563312792983,0.002047909000952997,0.0002820101685787826,0.006059223143345735,0.0010658730523400975,7.572785569600258e-05,7.104710225159892e-05,0.00455089066177629,0.005380415511150864,0.00041219586962610194,0.0,0.0,0.0001741655864852366,0.001069486409783916,0.00038106497733339436,0.00013422726715229904,0.0,9.689573619562551e-05,0.0007471902694633715,0.000143483879480003,0.0,0.00019091615586838505,3.479011678243225e-05,0.00014151093434173868,0.0,8.461105331633981e-05,0.0,3.3445790690267684e-05,0.0011270329308354914,0.00022258734601094678
