#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
ASV22,0.008643914259633801,0.00299694000139463,0.0,0.0208455363364357,0.007412662591274315,0.0205601128214647,0.15605496009563705,0.0,0.12084220218654307,0.15818016496901663,0.0013382074675897908,0.000382276279039983,0.0,0.004903494293914935,0.004484841656308411,0.0010067045036422427,0.0016954712797066845,0.0,0.0033033675071012215,0.008695123096488181,0.00047377485519091927,0.0009000333062366724,0.0,0.002092340243481422,0.003027186503317934,0.000222104014955392,0.0004940485038935751,0.0,0.0009528551142518245,0.0014607294581968383
ASV23,0.08872244070265638,0.04306602782004083,0.0,0.0,0.08726593372159017,0.0030745509412577047,0.0023445543743027646,0.0,0.0,0.003366266268613166,0.0021807825397759553,0.0028033593796265416,0.0,0.0,0.011854052064124977,0.0020134090072844854,0.0024716203544168556,0.0,0.0,0.012689714301211465,0.0025313113691629117,0.006774796159672407,0.0,0.0,0.008130158037482451,0.003731347451250586,0.0014745447654669777,0.0,0.0,0.004924745030492198
ASV24,0.02772576271958012,0.02112842700983214,0.013348481312729046,0.001100306690209549,0.005151719752977138,0.0009844621240480335,0.0032800078872821502,0.040136327364277004,0.002798781162751122,0.0010991889856696053,0.0020816560606952304,0.004661646847182015,0.014126764237135858,0.003158011757192129,0.000981975133897593,0.001644284022615663,0.001130314186471123,0.02168526576058099,0.0024381998266699493,0.0008035097250880167,0.0005188962699710068,0.0005318378627762156,0.002139592182119584,0.0009501448448659596,0.00048050579417744987,0.005076663198980389,0.0004940485038935751,0.0016722895345133845,0.0017110409040866097,0.0003477927281421044
ASV25,0.00043767820843471447,0.004158889196850599,0.0,0.0,0.026913705154427345,6.417614889491745e-05,0.0003612564521267743,0.0,0.0,0.0010334006618451003,0.00039902608104529236,0.0057503423330166935,0.0,0.0,0.07843628852217684,0.0002985987934532076,0.013186998842163102,0.0,0.0,0.06998487019891163,0.00020075205728428783,0.0003120300368308957,0.0,0.0,0.030275937116180845,0.00024200195334122616,0.00028985896577849905,0.0,0.0,0.01941744485593376
ASV26,0.03454176269586782,0.02863101174712383,0.035918020157429016,0.010057261928600104,0.017411013400747334,0.0009018378611783145,0.0009829634111867454,0.0025504115792791817,0.0006845258596015488,0.0007940726034828585,0.0023089004759608506,0.0012831807381669014,0.01083832546370474,0.005449387185298213,0.001309060611882198,0.0015162274485680013,0.0003299224128637253,0.010924951832354413,0.004648847192255284,0.0013720174815425854,0.0018372555054939326,0.0008884264446214566,0.0024767394872256938,0.0018268611989076097,0.0011781227878256213,0.003834169885394558,0.0008386112284870061,0.002249244067436566,0.003811205134683305,0.0011986971786053615
ASV27,0.004836608448043234,0.030546743972183446,0.029411042975247822,0.002407407579759395,0.01995648319617823,0.0003315580371979097,0.0008087673636346639,0.0006641696821039537,0.0003422629298007744,0.0002767222709106931,0.0009548084675026075,0.00235435770220188,0.023476260314910173,0.002438441736612041,0.002125298405173451,0.001040202551924559,0.0008841920664747839,0.020628101036672918,0.0024690543976644734,0.0013870945967243721,0.00047413045303069235,0.0015619110074796575,0.0018826875806955455,0.004014846123180677,0.0006732130216146408,0.001022445302771882,0.00122463861937785,0.0018714413529843305,0.004457172106663526,0.0012133154368810367
ASV28,0.0014678344969189475,0.009165641504265243,0.00016450593167095654,0.00761171066514825,0.0008236291768082571,0.0012621309282667098,0.0066429040605245,0.03306980547557437,0.007202036009320775,0.013327666451243964,0.0008260539923393771,0.0015715802582754856,0.009850031502331713,0.006770050763820826,0.0047046868355392155,0.0007214715609436073,0.0005525980467192157,0.01097828691096437,0.008189598611355113,0.005839793894836121,0.000609139099531182,0.0004500166531183362,0.0013133269085368177,0.0024966571987435323,0.0017298208590388194,0.002189311004560293,0.00029136193819364687,0.0009950122730354636,0.003032743159339141,0.0016554933859564166
ASV29,0.007556629447101248,0.018805798508751304,0.011950180893525914,0.0,0.013646404988293673,0.0005427162991546851,0.0066902687953588995,0.0460398438616368,0.001206371190841001,0.005461595272545851,0.0010573491101944026,0.00321749201525319,0.008447030944533975,0.00030268483295771203,0.0030045507828209937,0.0005201306602151587,0.0006781885118826738,0.014931632947745889,0.0003441007819897106,0.002453574339108051,0.00034969096454567857,0.00027273736552626437,0.0024353081747702575,0.0,0.0006086406726247698,0.0021787346228957505,0.0005067164142498206,0.0020652775751240295,0.0,0.0007094971654098929
ASV30,0.0,0.0,0.0,0.0,0.000882844346382707,0.03803221197177018,0.04532805123652012,0.0,0.0,0.0012060545814985947,0.005220661231584863,0.0005804936089125667,0.0,0.0,0.0012897583848207194,0.002214749908012934,0.0,0.0,0.0,0.0003826236786133413,0.05336359321325021,0.011582246789348691,0.0,0.0,0.0037159114749722786,0.00039485158214291915,0.013140845676212013,0.0,0.0,0.00315332073515508
ASV31,0.0,0.0,0.0,0.0,0.0,3.257112072946347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018659888305829753,0.0,0.0,0.0,0.0,0.10297984005243552,0.0,0.0,0.0,0.0
