#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,0.001378614714455152,0.003333916508728476,0.0,0.0,0.0002549935531914109,0.0,3.399382882851624e-05,0.0,0.0,0.0,0.0,0.00016766503466665922,0.0,0.0,4.207563238867071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002740423289976819,0.0,0.0,4.5981415710760756e-05,0.00019735831814218018,9.091801691085298e-05,3.600623399669967e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,0.0010233268823835798,8.81452941586656e-05,0.0,3.1918646935974025e-05,0.0004331890480098792,0.03230461232396534,0.004346410961274287,2.6769945069272298e-05,0.0,7.274044758107681e-05,0.48384217536237767,0.0006970920382493807,0.0,0.0,3.1036966479642986e-05,0.5289699205432175,0.00041666483736582573,0.0,0.0,0.0,0.0036627971997953424,1.925204933126572e-05,0.0,0.0,3.39180560595847e-05,0.001022798320971049,0.0,0.0,0.0,4.9100149855355915e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,0.00034206964575355444,0.0,0.0002321071346327429,0.0003163404994683296,0.0,6.232745324773874e-05,0.0,6.242648370063498e-05,0.00010425430044304945,0.00014135660823940397,0.00010198197436288605,0.0,0.0,0.0,0.0,0.00012428450662249908,0.0,2.3924873134722343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529815781897848e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,0.21326119373842864,0.2383974962003182,0.2206907684106811,0.22037667264846875,0.18328421703150072,0.022967471144582186,0.09382716814747022,0.12604808306215406,0.08452540425234993,0.1279593354021473,0.01798811116128038,0.03208378886960802,0.11403735730582264,0.092265112855898,0.03856759633751288,0.015160511644383631,0.009528151564171371,0.11412987718058347,0.0838040935675419,0.0354346899267807,0.009780958854893653,0.00643899346529475,0.020278543056639488,0.03762201835618652,0.010498282265567191,0.028810692139562426,0.005594482909442149,0.02231555437237489,0.049891208143289796,0.013390912219566096
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,0.004784053175143236,0.008091738003765501,0.01494653893467548,0.0013565424947788959,0.0005813853012764168,0.0,0.0003552355112579947,0.001365267198532887,0.0,0.0,0.0,0.0001911381395199915,0.0008708279324261829,0.0,0.0,0.0,0.00015070855819614972,0.001337161159499632,0.0,0.0,0.0,0.0,0.00041748140138918706,0.00030323771644658287,0.0,0.00025383315994901944,0.00022802238641241927,0.0004515181743186138,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,0.277807022506094,0.2750026270830956,0.18896272413080256,0.2058213623847135,0.17626183259303818,0.023765723544750244,0.10179627043857453,0.15210721996660728,0.07168531575026513,0.0800733206947995,0.013381034505340556,0.02390290718746012,0.046099775953389294,0.04019910086549502,0.012926522704091302,0.012329427059047021,0.011345298636203097,0.08072528451154175,0.03500301200926614,0.01132638561447737,0.007656772784551577,0.008894501110896201,0.017794587367696842,0.019109223667004314,0.005102048051120842,0.03863248390850778,0.008140678227942934,0.021229308719895142,0.034617434993827606,0.00689037263465617
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,0.000862256814580942,0.00023187156683904296,2.7273710694272985e-05,0.00031486479569336074,0.0002623918187578928,0.00014647554293230672,0.0,0.0,0.0,0.0,0.00015338720167230215,0.0,0.0,2.3418555741409057e-05,0.0,0.0,0.0,0.0,2.281961527425547e-05,3.330380181354035e-05,2.618263913738156e-05,9.49569164308077e-05,0.0,0.0,0.0,2.4548661503773643e-05,8.82098206624446e-05,0.0,2.3781247001979774e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,0.0034282750866293974,0.005606156293800165,0.0008733707174270663,0.0014773463013961587,0.008159183275004188,0.0029664769569240014,0.005961778062648288,0.0009664542266647571,0.0002509607843252211,0.015495623949929059,0.0001370704976299406,0.0013030787148017294,7.256899436884858e-06,0.0004533374850719191,0.001050176569753836,0.00029083414878871693,0.0008612921709623066,1.8167950536679783e-05,7.431904767657892e-05,0.0005613806784655117,0.00014516272851502698,0.0007269721250182724,0.00018187862661057079,0.00019511273980477183,0.00046448893437153483,0.0007261621724759161,0.00033561896415338526,3.9442271259735925e-05,0.0003779529517872519,0.0004103954192076832
k__Bacteria;p__Firmicutes;c__Clostridia;o__unclassified,0.03209831240825769,0.01752994809428199,0.00522865743178365,0.0028775143828643247,0.00570258309864428,0.0022283555623464875,0.0018356667567398768,0.0016693857292002343,0.0009350819756757999,0.0005752334703713545,0.0012568668400187652,0.0012498666220605505,0.0004722192935006415,0.00120204981509522,0.000357642875303701,0.001541365747203434,0.00046871082692582453,0.0007093324228674978,0.0012700917448697454,0.000185361949567468,0.0009553218201047246,0.0004697868497103118,0.0003370812750450972,0.0012042454767974345,0.00043682344925222714,0.003127370272099163,0.0008546293589620181,0.0004200727299614961,0.0017648188564627096,0.00037941024888229574
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia,0.0,0.0,8.433318438360725e-05,0.0,0.0,0.0,0.0,0.00012701847939566998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800831199559956e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,0.000947145881139469,0.0,4.2301525286817394e-05,0.03603579773908205,0.0050881980256154554,0.07405174582326439,0.0848949718926828,0.005445899158592294,0.04180478299994349,0.14556966308587166,0.008769389182674827,0.0011185120757095798,5.8055195495078864e-05,0.011323103284466944,0.0050320118801717465,0.003955230138754411,0.0003683986978128105,0.0005116094871129027,0.008181078020562985,0.001310486099250694,0.08638494859647762,0.02098259465448727,0.0,0.011434083494812484,0.007854668048820714,0.0007614994798470583,0.023984576941158173,0.00010033737207080307,0.004685724791231195,0.006395676408714538
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales,0.09605717742855185,0.05510157892720477,0.0002679096601498435,0.00031486479569336074,0.09555765578924194,0.0062770122912800186,0.06086638985178507,0.0026964027171024517,0.0009800307546483954,0.03192720097601842,0.005812689246947195,0.08183711765830926,0.0013352694963868139,0.00017643539895577582,0.061692463047084325,0.006447351273999575,0.23260109583716296,0.002866175876666602,3.42294229113832e-05,0.04605016231417054,0.06112485453105112,0.3002662152951316,0.002202214392327962,0.0003023263339332336,0.07769935725958116,0.007231908287310176,0.020146922849294095,0.001043508669536352,0.00037697666882199844,0.02279534134651406
k__Bacteria;p__Firmicutes;c__unclassified;o__unclassified,0.002174569625065107,0.002097858000976241,0.000846030505736348,0.002532212656920606,0.0004844877510636807,0.0,0.0,0.0,0.0,0.0,0.0,0.00025485085269332197,0.0,0.0,0.0,0.0,0.00015070855819614972,0.0,0.0,0.0,0.0,0.0,0.0,0.00012129508657863315,0.0,0.00012691657997450972,0.0,0.0,0.00012294904700023543,0.0002504107642623152
k__Bacteria;p__Firmicutes;c__unidentified_Firmicutes;o__Oscillospirales,0.01456961648793622,0.004495410002091945,0.01741412790973983,0.011123648457186946,0.020154690444249116,0.0008330064126560284,0.00014209420450319785,0.0007584817769627151,0.0010857340717569009,0.0030227697105914145,0.0020816560606952304,0.00025485085269332197,0.0003483311729704732,0.0005448326993238817,0.0011431949320001831,0.0004026818014568971,0.00015070855819614972,0.0009301990674780049,0.0007078644658074047,0.0009469936045680197,0.00013536424434026266,0.0,0.0002609258758682419,0.00036388525973589944,0.0,0.0014595406697068619,0.0,0.0005016868603540153,0.001106541423002119,0.0002504107642623152
k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011274111755425868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38702275315595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83889459291449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.784820071380628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.562931555967472e-05,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,6.56308739959288e-05,0.0004086736365538132,0.002296108948866699,0.00036997530124247306,5.890428584360859e-05,6.905275595380174e-05,0.00021549056619187185,0.0007492601140209191,0.0006401818288745197,0.0002923374961887248,3.988993121960775e-05,7.722753111918848e-05,0.0005293786823259471,0.0006851117842253476,0.00036084011180739935,0.0,0.0,0.0007245091521010296,0.00033292802572447395,0.00031400727424195184,2.7236266466853653e-05,3.73045028835316e-05,0.00048378353884385273,0.0003378107117370347,0.00040894110142761686,0.00022140554708641557,0.0002651895243407461,0.0003480386819657013,0.00026718304861528627,0.0002105961961296633
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,0.0239992496654525,0.0001975269931612943,0.000956208567549516,0.003551541754211954,0.057657517014006114,0.4613481562648125,0.08041082172141213,0.19052632328603908,0.21160079029797546,0.006698759017929804,0.2315128444746837,0.0518471876430746,0.018991335206487336,0.09400386047038901,0.009574823380283244,0.2500601687595861,0.023445248375251228,0.019771437669066902,0.05446305378791451,0.013685324791814512,0.25509274808285864,0.03277817285687108,0.027222914255565153,0.24504553928233985,0.004319975901938216,0.23626728868177818,0.081002946057095,0.004305976291297621,0.16131462512794045,0.0057723857089031745
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013739862320870066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales,0.00021745696250651073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales,0.0,0.019843499191795507,0.0,0.0,0.0,0.0,0.0005033309696298562,0.0,0.0,0.0,0.0,0.00013888329847047521,0.0,0.0,0.0,5.48612808524383e-05,0.0006159750334992496,0.0,0.0,0.0,0.0,0.00022294607536206898,0.0,0.0,0.0,0.0,0.00016568384117160347,0.0,0.0,0.0
k__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,0.0007176079762714854,0.000299694000139463,0.0,0.0,0.0,0.00027694758654538083,0.0009378217497211059,7.58481776962715e-05,0.0,0.0,7.93011832645802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,0.0,0.0009490310004416328,0.0,3.0145388772864352e-05,0.0,0.0,4.7364734834399285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091060482893965e-05,0.0,0.0,0.0,0.0,3.800373106873654e-05,0.0,3.073726175005886e-05,0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,0.0,0.0004495410002091945,0.0007050254214469566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales,0.00017679427846057784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,0.00010872848125325537,0.002597348001208679,0.0,0.007409931046749238,0.0,0.0,0.0006157415528471907,0.0,0.00016344383875910334,0.0,0.0,4.247514211555366e-05,0.0,9.764026869603613e-05,0.0,0.0,0.0,0.0,0.0001332003027056944,0.0,0.0,0.0,0.0,3.912744728343005e-05,0.0,0.0,5.0671641424982054e-05,0.0,9.915245725825437e-05,0.0
k__Bacteria;p__unclassified;c__unclassified;o__unclassified,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
